Item Type,Publication Year,Title,Author,Source
bookSection,2022,Applying scientific machine learning to improve seismic wave simulation and inversion,"Huang, Lei; Clee, Edward; Ranasinghe, N.",Elsevier BV
journalArticle,2022,Deep Learning Seismic Inversion Based on Prestack Waveform Datasets,"Zhang, Jian; Sun, Hui; Zhang, Gan; Zhao, Xiaoyan",IEEE Transactions on Geoscience and Remote Sensing
journalArticle,2022,Deep learning-based groundwater storage estimation from seismic data,"Lähivaara, Timo; Malehmir, A.; Pasanen, Antti; Kärkkäinen, Leo; Huttunen, Janne; Hesthaven, Jan",
journalArticle,2022,Deep-neural-networks-based approaches for Biot–squirt model in rock physics,"Xiong, F.; Liu, J.; Guo, Z.; Liu, J.",Acta Geophysica
journalArticle,2022,Efficient seismic numerical modelling technique using the YOLOv2-based expanding domain method,"Lee, D.; Choi, S.; Lee, J.; Chung, W.",Journal of Seismic Exploration
journalArticle,2022,Elastic-AdjointNet: A physics guided deep autoencoder to overcome cross talk effects in multiparameter full waveform inversion,"Dhara, Arnab; Sen, Mrinal",Second International Meeting for Applied Geoscience & Energy
journalArticle,2022,Encoder-Decoder Architecture for 3D Seismic Inversion,"Gelboim, Maayan; Adler, Amir; Jee, Shiou‐Hwa; Araya–Polo, Mauricio",Sensors
journalArticle,2022,High-frequency wavefield extrapolation using the Fourier neural operator,"Song, Chao; Wang, Yanghua",Journal of Geophysics and Engineering
journalArticle,2022,"LASIF: LArge-scale Seismic Inversion Framework, an updated version","Thrastarson, Sölvi; van Herwaarden, Dirk‐Philip; Krischer, Lion; Fichtner, Andreas",EarthArXiv (California Digital Library)
journalArticle,2022,Learning stable seismic wave equations for porous media from real data,"Xiong, Fuqin; Yong, Wen‐An",Geophysical Journal International
journalArticle,2022,PINNup: Robust Neural Network Wavefield Solutions Using Frequency Upscaling and Neuron Splitting,"Huang, X.; Alkhalifah, T.",Journal of Geophysical Research: Solid Earth
journalArticle,2022,Physics-Informed Neural Networks (PINNs) for Wave Propagation and Full Waveform Inversions,"Rasht‐Behesht, Majid; Huber, Christian; Shukla, Khemraj; Karniadakis, George",Journal of Geophysical Research Solid Earth
journalArticle,2022,Physics-directed unsupervised machine learning: Quantifying uncertainty in seismic inversion,"Singh, Sagar; Zhang, Yu; Thanoon, D.; Devarakota, Pandu; Jin, Long; Tsvankin, Ilya",Second International Meeting for Applied Geoscience & Energy
journalArticle,2022,Physics-informed Neural Networks (PINNs) for Wave Propagation and Full Waveform Inversions,"Rasht-Behesht, Majid; Huber, Christian; Shukla, Khemraj; Karniadakis, George Em",Journal of Geophysical Research: Solid Earth
journalArticle,2022,"Rapid Replication of Best Practices through Machine Learning. Never mind the network, look at the data!","Rynja, H.; Bazargani, Farhad; Chandran, Anu; Liu, Zixi; Sutton, Christian; Vamaraju, Janaki; Vila, Jeremy; Ye, Shuchang; Zhang, Weina",
